Designator,Mid X,Mid Y,Rotation,Layer
C1,120.75,-120.25,270.0,top
C10,119.5,-120.25,270.0,top
C11,116.25,-107.085,90.0,top
C12,121.25,-107.085,90.0,top
C13,118.25,-107.085,90.0,top
C14,119.5,-122.75,90.0,top
C15,119.25,-107.085,90.0,top
C16,117.25,-107.085,90.0,top
C17,108.75,-119.77,270.0,top
C18,106.5,-119.77,270.0,top
C19,111.0,-119.77,270.0,top
C2,110.81,-114.25,180.0,top
C20,98.25,-118.77,90.0,top
C21,103.25,-118.77,90.0,top
C22,102.75,-120.25,0.0,top
C23,98.75,-120.25,180.0,top
C24,129.45,-108.6,90.0,top
C25,126.975,-108.6,90.0,top
C26,125.95,-117.9,270.0,top
C27,124.0,-130.975,180.0,top
C28,123.02,-125.25,180.0,top
C29,124.98,-125.25,0.0,top
C3,110.81,-112.25,180.0,top
C30,124.0,-120.01,0.0,top
C31,127.95,-108.6,270.0,top
C4,123.7,-112.2,90.0,top
C5,110.81,-115.25,180.0,top
C6,110.81,-113.25,180.0,top
C7,115.5,-120.23,270.0,top
C8,118.5,-120.25,270.0,top
C9,114.5,-122.75,270.0,top
D1,127.95,-127.757501,90.0,top
D2,127.95,-124.166251,90.0,top
D3,127.96,-120.575,90.0,top
D4,124.71,-118.389999,270.0,top
D5,142.8,-123.232501,90.0,top
D6,140.8,-123.2225,90.0,top
J1,109.25,-126.5,90.0,top
J2,100.75,-126.5,90.0,top
J4,92.425,-113.475,0.0,top
R1,116.99,-120.75,0.0,top
R10,144.59,-115.26,90.0,top
R11,144.59,-113.06,90.0,top
R12,144.59,-110.94,270.0,top
R13,137.120001,-123.75,0.0,top
R14,131.75,-123.75,180.0,top
R15,126.95,-127.757501,90.0,top
R16,126.95,-124.166251,90.0,top
R17,126.95,-120.575,90.0,top
R18,130.975,-117.85,270.0,top
R19,117.2,-102.84,90.0,top
R2,106.37,-102.84,90.0,top
R20,128.04,-102.84,90.0,top
R21,138.87,-102.84,90.0,top
R22,123.7,-118.389999,270.0,top
R23,123.62,-116.43,90.0,top
R24,142.8,-121.290001,270.0,top
R25,140.8,-121.290001,270.0,top
R26,115.25,-107.065,90.0,top
R27,120.25,-107.065,90.0,top
R3,109.75,-119.75,270.0,top
R4,107.5,-119.75,270.0,top
R5,112.0,-119.75,270.0,top
R6,110.819999,-111.25,180.0,top
R7,102.25,-118.75,90.0,top
R8,99.25,-118.75,90.0,top
R9,144.59,-117.459999,90.0,top
SIM1,138.0,-113.49,90.0,top
SW1,115.78,-128.64,270.0,top
SW2,119.78,-128.64,270.0,top
SW3,101.749999,-99.924999,90.0,top
SW4,112.583332,-99.924999,90.0,top
SW5,123.416666,-99.924999,90.0,top
SW6,134.249999,-99.924999,90.0,top
U1,118.0,-113.5,180.0,top
U2,127.7,-113.5,270.0,top
U3,124.0,-128.0,90.0,top
U4,124.0,-122.5,90.0,top
USB1,134.425,-127.6675,0.0,top
Y1,117.0,-122.8,180.0,top
